"method.set"	"coverage.set"	"smaller.set"	"bigger.set"	"truemean.set"	"bootmean.set"	"n.set"	"B.set"	"round.set"	"difference.set"	"length.set"	"distribution.set"
1	0.6	0	0	9.888	9.26464623851555	50	100	10	0.62335376148445	-3.54275605440388	"normal"
2	0.6	0	0	9.888	9.30272215863431	50	100	10	0.585277841365686	-3.42948188576626	"normal"
3	0.6	0	0	9.888	9.31687202971295	50	100	10	0.571127970287046	-4.00980718789043	"normal"
1	0.7	0	0	9.888	9.36952141604459	50	100	10	0.51847858395541	-3.39798656819016	"normal"
2	0.7	0	0	9.888	9.32491892805534	50	100	10	0.563081071944659	-3.98599591746038	"normal"
3	0.7	0	0	9.888	9.25565005968326	50	100	10	0.632349940316743	-3.99856488272213	"normal"
1	0.8	0	0	9.888	9.33602421797979	50	100	10	0.551975782020213	-4.02734643465551	"normal"
2	0.8	0	0	9.888	9.41928295732946	50	100	10	0.468717042670542	-3.57702134967217	"normal"
3	0.8	0	0	9.888	9.51983562471142	50	100	10	0.368164375288583	-3.84594836109908	"normal"
1	0.9	0	0	9.888	9.34552013993516	50	100	10	0.542479860064836	-4.12003395443639	"normal"
2	0.9	0	0	9.888	9.44985176916278	50	100	10	0.438148230837223	-5.12057118526108	"normal"
3	0.9	0	0	9.888	9.28899507018278	50	100	10	0.599004929817225	-3.58910629031439	"normal"
1	1	0	0	9.888	9.19630183712412	50	100	10	0.69169816287588	-4.27184471199285	"normal"
2	1	0	0	9.888	9.31145143505043	50	100	10	0.576548564949567	-3.95921735756004	"normal"
3	1	0	0	9.888	9.33707207291524	50	100	10	0.550927927084764	-3.9851375364005	"normal"
1	0.01	0	0	9.888	9.21847474773481	50	10	100	0.66952525226519	-2.73695624767323	"normal"
2	0.01	0	0	9.888	9.51352617574854	50	10	100	0.374473824251458	-2.80052517845819	"normal"
3	0.01	0	0	9.888	9.45042671223005	50	10	100	0.437573287769947	-2.71413017227524	"normal"
1	0.02	0	0	9.888	9.08986126617753	50	10	100	0.798138733822473	-3.40841928100632	"normal"
2	0.01	0	0.01	9.888	8.95850823040992	50	10	100	0.929491769590076	-1.80032764101437	"normal"
3	0.02	0	0	9.888	9.36755644974682	50	10	100	0.52044355025318	-2.70359725124991	"normal"
1	0.03	0	0	9.888	9.65844210917432	50	10	100	0.229557890825678	-2.23811221544011	"normal"
2	0.02	0	0.01	9.888	9.34096996814835	50	10	100	0.54703003185165	-2.56462509320541	"normal"
3	0.03	0	0	9.888	9.4539707799733	50	10	100	0.4340292200267	-2.35868241431781	"normal"
1	0.04	0	0	9.888	9.40909630810498	50	10	100	0.478903691895022	-2.58201557064395	"normal"
2	0.03	0	0.01	9.888	9.04650138269252	50	10	100	0.841498617307479	-1.9236176968194	"normal"
3	0.04	0	0	9.888	9.3634318070728	50	10	100	0.524568192927196	-3.09513306752355	"normal"
1	0.05	0	0	9.888	9.36962381578118	50	10	100	0.51837618421882	-3.16481309290198	"normal"
2	0.04	0	0.01	9.888	9.11291587238451	50	10	100	0.775084127615486	-1.5096238086847	"normal"
3	0.05	0	0	9.888	8.93567574146538	50	10	100	0.952324258534622	-3.33283743249879	"normal"
1	0.06	0	0	9.888	8.79905514503768	50	10	100	1.08894485496232	-2.98144630877428	"normal"
2	0.05	0	0.01	9.888	9.37497025337834	50	10	100	0.513029746621658	-2.43712858587011	"normal"
3	0.06	0	0	9.888	9.14328145191447	50	10	100	0.744718548085533	-3.44686341977465	"normal"
1	0.07	0	0	9.888	9.3046514098118	50	10	100	0.583348590188203	-2.7779622896575	"normal"
2	0.06	0	0.01	9.888	9.48130470247098	50	10	100	0.406695297529019	-1.52170151883063	"normal"
3	0.07	0	0	9.888	9.36832072256693	50	10	100	0.51967927743307	-5.39364500245457	"normal"
1	0.08	0	0	9.888	8.87572906542131	50	10	100	1.01227093457869	-3.90383324661669	"normal"
2	0.07	0	0.01	9.888	9.5805422978643	50	10	100	0.307457702135704	-2.07916891401537	"normal"
3	0.08	0	0	9.888	9.23910756185706	50	10	100	0.648892438142942	-1.97271151983835	"normal"
1	0.09	0	0	9.888	9.33043979819287	50	10	100	0.55756020180713	-4.12967441810783	"normal"
2	0.08	0	0.01	9.888	9.31515213933265	50	10	100	0.57284786066735	-2.23393718850015	"normal"
3	0.09	0	0	9.888	9.62616939172271	50	10	100	0.261830608277286	-2.63146649493773	"normal"
